,B,CAT-DEC,CAT-RA,H,I,J,K,R,U,V,g,hd_name,i,name,r,u,z
576,13.53,40.76458333,305.79104167,,,,,,,12.71,,,,NGC6910 37,,,
577,,,,,,,,,,,,,,NGC6910 WEBDA 16,,,
578,,,,,,,,,,,,,,NGC6910 WEBDA 41,,,
579,,,,,,,,,,,,,,NGC6910 WEBDA37,,,
580,8.357,31.92060889,85.17520928,1.128,,2.122,0.971,,,6.242,,HD 37536,,NO Aur,,,
581,6.75,14.050178,320.89744081,6.898,,6.852,6.820,,6.18,6.86,,HD 203699,,NT Peg,,,
582,6.099,5.43572007,275.36834287,6.171,,6.128,6.156,,5.47,6.147,,HD 168797,,NW Ser,,,
583,,41.81013889,307.05216667,,,,,,,7.3,,,,Nova Cyg 2007,,,
584,,,,,,,,,,,,,,NovaScuti,,,
585,,,,,,,,,,,,,,O Cas,,,
586,7.47,48.72277806,24.11333321,3.165,,3.794,2.914,,,6.22,,HD 9746,,OP And,,,
587,7.79,45.35085195,269.20219541,0.366,,1.459,0.198,,,6.34,,HD 163990,,OP Her,,,
588,4.925,25.92513615,328.2657011,5.491,,5.390,5.545,,4.24,5.078,,HD 208057,,OQ Peg,,,
589,6.261,15.51719613,111.11520039,6.398,,6.395,6.291,,5.39,6.448,,HD 58050,,OT Gem,,,
590,11.48,16.32393611,104.6266875,9.471,,9.977,8.364,,,11.20,,HD 51585,,OY Gem,,,
591,,,,,,,,,,,,,,OYGem,,,
592,4.432,48.28436488,11.18132777,,,,,,3.96,4.477,,HD 4180,,Omi Cas,,,
593,4.45,-25.93717008,117.02153497,4.435,,4.568,4.165,,3.43,4.50,,HD 63462,,Omi Pup,,,
594,,,,,,,,,,,,,,OmiCas,,,
595,4.432,48.28436488,11.18132777,,,,,,3.96,4.477,,HD 4180,,Omicron Cas,,,
596,5.134,38.03293131,304.44667535,3.409,,3.624,3.053,,4.67,4.795,,HD 193237,,P Cyg,,,
597,,,,,,,,,,,,,,PG0116+242,,,
598,6.690,14.88922731,96.81574008,5.761,,5.906,5.534,,5.91,6.598,,HD 45314,,PZ Gem,,,
599,4.00,50.68873134,25.915158,,,,,,3.10,4.09,,HD 10516,,Phi Per,,,
600,4.967,24.13671084,57.29673229,5.067,5.08,5.087,4.937,,4.73,5.048,,HD 23862,,Pleione,,,
601,4.255,48.19263304,54.12241593,,,,,,3.60,4.310,,HD 22192,,Psi Per,,,
602,7.64,16.94875712,98.27330334,7.522,,7.531,7.452,,,7.64,,HD 46264,,QQ Gem,,,
603,4.592,25.5919597,303.81623093,5.225,,5.232,5.270,,,4.759,,HD 192685,,QR Vul,,,
604,7.02,17.90200988,104.42875618,7.183,,7.200,7.047,,6.29,7.15,,HD 51354,,QY Gem,,,
605,,51.38880585,359.60363898,-0.849,,0.163,-1.404,,,4.8,,HD 224490,,R Cas,,,
606,5.59,43.94609208,283.83375928,-1.575,,-0.738,-1.837,,,4.20,,HD 175865,,R Lyr,,,
